"index"	"country"	"country_code"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
91	"Haiti"	332	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
92	"Holy See"	336	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
93	"Honduras"	340	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
94	"Hungary"	348	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
95	"Iceland"	352	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
96	"India"	356	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
97	"Indonesia"	360	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
98	"Iran (Islamic Republic of)"	364	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
99	"Iraq"	368	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065	1.065
100	"Ireland"	372	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
101	"Isle of Man"	833	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
102	"Israel"	376	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
103	"Italy"	380	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063
104	"Jamaica"	388	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
105	"Japan"	392	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
106	"Jordan"	400	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
107	"Kazakhstan"	398	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059
108	"Kenya"	404	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
109	"Kiribati"	296	1.07	1.07	1.07	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
110	"Kuwait"	414	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
111	"Kyrgyzstan"	417	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055
112	"Lao People's Dem. Republic"	418	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
113	"Latvia"	428	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057
114	"Lebanon"	422	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
115	"Lesotho"	426	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
116	"Liberia"	430	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
117	"Libyan Arab Jamahiriya"	434	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
118	"Liechtenstein"	438	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
119	"Lithuania"	440	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058
120	"Luxembourg"	442	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063
121	"Madagascar"	450	1.016	1.016	1.02	1.025	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
122	"Malawi"	454	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
123	"Malaysia"	458	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
124	"Maldives"	462	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035
125	"Mali"	466	1.029	1.029	1.029	1.029	1.029	1.029	1.029	1.029	1.029	1.029	1.029	1.029
126	"Malta"	470	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
127	"Marshall Islands"	584	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
128	"Martinique"	474	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
129	"Mauritania"	478	1.078	1.078	1.078	1.078	1.078	1.078	1.078	1.078	1.078	1.078	1.078	1.078
130	"Mauritius"	480	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042	1.042
131	"Mayotte"	175	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016
132	"Mexico"	484	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
133	"Micronesia (Fed. States of)"	583	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
134	"Monaco"	492	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
135	"Mongolia"	496	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
136	"Montenegro"	499	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
137	"Montserrat"	500	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
138	"Morocco"	504	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
139	"Mozambique"	508	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
140	"Myanmar"	104	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
141	"Namibia"	516	1.025	1.025	1.025	1.025	1.025	1.025	1.025	1.025	1.025	1.025	1.025	1.025
142	"Nauru"	520	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
143	"Nepal"	524	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
144	"Netherlands"	528	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051
145	"Netherlands Antilles"	530	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
146	"New Caledonia"	540	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
147	"New Zealand"	554	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
148	"Nicaragua"	558	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
149	"Niger"	562	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044
150	"Nigeria"	566	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035
151	"Niue"	570	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
152	"Northern Mariana Islands"	580	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
153	"Norway"	578	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057	1.057
154	"Occupied Palestinian Territory"	275	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
155	"Oman"	512	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
156	"Pakistan"	586	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
157	"Palau"	585	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
158	"Panama"	591	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
159	"Papua New Guinea"	598	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
160	"Paraguay"	600	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
161	"Peru"	604	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
162	"Philippines"	608	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
163	"Poland"	616	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058
164	"Portugal"	620	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
165	"Puerto Rico"	630	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053
166	"Qatar"	634	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
167	"Republic of Korea"	410	1.1	1.1	1.1	1.1	1.095	1.09	1.085	1.08	1.075	1.07	1.07	1.07
168	"Republic of Moldova"	498	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061
169	"Reunion"	638	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016	1.016
170	"Romania"	642	1.061	1.061	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063
171	"Russian Federation"	643	1.058	1.061	1.062	1.059	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
172	"Rwanda"	646	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01
173	"Saint Helena"	654	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
174	"Saint Kitts and Nevis"	659	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
175	"Saint Lucia"	662	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
176	"Saint Pierre and Miquelon"	666	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
177	"St. Vincent and the Grenadines"	670	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
178	"Samoa"	882	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
179	"San Marino"	674	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
180	"Sao Tome and Principe"	678	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
181	"Saudi Arabia"	682	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
182	"Senegal"	686	1.032	1.032	1.032	1.032	1.032	1.032	1.032	1.032	1.032	1.032	1.032	1.032
183	"Serbia"	688	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
184	"Seychelles"	690	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
185	"Sierra Leone"	694	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
186	"Singapore"	702	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073
187	"Slovakia"	703	1.045	1.045	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056	1.056
188	"Slovenia"	705	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054
189	"Solomon Islands"	90	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
190	"Somalia"	706	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
191	"South Africa"	710	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
192	"Spain"	724	1.064	1.064	1.064	1.064	1.064	1.064	1.064	1.064	1.064	1.064	1.064	1.064
193	"Sri Lanka"	144	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04	1.04
194	"Sudan"	736	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054
195	"Suriname"	740	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
196	"Swaziland"	748	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
197	"Sweden"	752	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059
198	"Switzerland"	756	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052
199	"Syrian Arab Republic"	760	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
200	"Taiwan, Province of China"	158	1.1	1.1	1.1	1.1	1.09	1.08	1.07	1.06	1.056	1.056	1.056	1.056
201	"Tajikistan"	762	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
202	"TFYR Macedonia"	807	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
203	"Thailand"	764	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
204	"Timor-Leste"	626	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
205	"Togo"	768	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018	1.018
206	"Tokelau"	772	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
207	"Tonga"	776	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
208	"Trinidad and Tobago"	780	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038	1.038
209	"Tunisia"	788	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
210	"Turkey"	792	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
211	"Turkmenistan"	795	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046
212	"Turks and Caicos Islands"	796	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
213	"Tuvalu"	798	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
214	"Uganda"	800	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
215	"Ukraine"	804	1.059	1.064	1.064	1.059	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.062
216	"United Arab Emirates"	784	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
217	"United Kingdom"	826	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051
218	"United Republic of Tanzania"	834	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
219	"United States of America"	840	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051
220	"United States Virgin Islands"	850	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
221	"Uruguay"	858	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
222	"Uzbekistan"	860	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049	1.049
223	"Vanuatu"	548	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
224	"Venezuela (Bolivarian Republic of)"	862	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
225	"Viet Nam"	704	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
226	"Wallis and Futuna Islands"	876	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06	1.06
227	"Western Sahara"	732	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
